"carrier_id","date_pulled","cargo_carried"
1000493,"5/26/2023","{""GENERAL FREIGHT"",MACHINERY,""LARGE OBJECTS"",""FRESH PRODUCE"",""INTERMODAL CONTAINERS"",MEAT,CHEMICALS,""REFRIGERATED FOOD"",BEVERAGES,""PAPER PRODUCTS""}"
1000494,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CRANE}"
1000495,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS""}"
1000501,"5/26/2023","{""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000504,"5/26/2023","{""GENERAL FREIGHT"",""METAL; SHEETS"",COILS,ROLLS,LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""INTERMODAL CONTAINERS""}"
1000506,"5/26/2023","{""GENERAL FREIGHT"",MACHINERY,""LARGE OBJECTS"",LIVESTOCK,GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""FARM SUPPLIES""}"
1000508,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000513,"5/26/2023","{""TRUCK DRIVING SCHOOL""}"
1000514,"5/26/2023",{SEPTAGE}
1000515,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",""REFRIGERATED FOOD""}"
1000519,"5/26/2023","{""LAWN AND GARDEN EQUIPMENT"",""LAWN TRACTORS""}"
1000521,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION,AGGREGATES}"
1000523,"5/26/2023",{SEPTAGE}
1000524,"5/26/2023","{""GENERAL FREIGHT""}"
1000527,"5/26/2023","{LIVESTOCK,GRAIN,FEED,HAY,""FARM SUPPLIES""}"
1000528,"5/26/2023","{""GENERAL FREIGHT""}"
1000529,"5/26/2023","{""GENERAL FREIGHT"",""DRIVE AWAY/TOWAWAY"",MACHINERY,""LARGE OBJECTS"",""OIL FIELD EQUIPMENT""}"
1000530,"5/26/2023","{""SEWAGE AND SEPTIC""}"
1000532,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",GRAIN,FEED,HAY,""FARM SUPPLIES"",""WATER WELL""}"
1000534,"5/26/2023","{""DRIVE AWAY/TOWAWAY""}"
1000535,"5/26/2023","{GRAIN,FEED,HAY}"
1000536,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",""REFRIGERATED FOOD""}"
1000539,"5/26/2023","{""BUILDING MATERIALS""}"
1000547,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""COMMODITIES DRY BULK"",CONSTRUCTION}"
1000548,"5/26/2023","{""TOOLS PIPE""}"
1000549,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",GARBAGE,REFUSE,TRASH,CONSTRUCTION}"
1000551,"5/26/2023","{GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""FARM SUPPLIES""}"
1000552,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,MACHINERY,""LARGE OBJECTS"",GARBAGE,REFUSE,TRASH}"
1000554,"5/26/2023","{""GENERAL FREIGHT"",""PAPER PRODUCTS""}"
1000556,"5/26/2023","{LIQUIDS/GASES,SEPTIC}"
1000557,"5/26/2023","{""LANDSCAPING TOOLS""}"
1000559,"5/26/2023","{GRAIN,FEED,HAY}"
1000562,"5/26/2023","{""BUILDING MATERIALS"",""STORAGE SHEDS""}"
1000564,"5/26/2023","{GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""FARM SUPPLIES""}"
1000566,"5/26/2023",{CONSTRUCTION}
1000567,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS""}"
1000570,"5/26/2023","{""GENERAL FREIGHT""}"
1000573,"5/26/2023",{MANURE/ASPHALT}
1000574,"5/26/2023","{""BUILDING MATERIALS""}"
1000575,"5/26/2023","{""GENERAL FREIGHT"",""METAL; SHEETS"",COILS,ROLLS,""MOTOR VEHICLES"",LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""OIL FIELD EQUIPMENT"",GRAIN,FEED,HAY,COAL,COKE,GARBAGE,REFUSE,TRASH,""COMMODITIES DRY BULK"",""PAPER PRODUCTS"",UTILITY,""FARM SUPPLIES"",CONSTRUCTION}"
1000581,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,""BUILDING MATERIALS"",CONSTRUCTION}"
1000591,"5/26/2023","{""FRESH PRODUCE""}"
1000593,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
1000594,"5/26/2023","{""GENERAL FREIGHT"",LIVESTOCK,GRAIN,FEED,HAY}"
1000597,"5/26/2023","{GRAIN,FEED,HAY}"
1000601,"5/26/2023",{ASPHALT}
1000603,"5/26/2023",{SALVAGE}
1000604,"5/26/2023","{GRAIN,FEED,HAY}"
1000610,"5/26/2023","{""USED PALLETS""}"
1000611,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",MEAT,""COMMODITIES DRY BULK"",""REFRIGERATED FOOD"",""PAPER PRODUCTS""}"
1000612,"5/26/2023","{""MOTOR VEHICLES""}"
1000615,"5/26/2023","{""GENERAL FREIGHT"",CHEMICALS,""PAPER PRODUCTS""}"
1000617,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",TOOLS}"
1000618,"5/26/2023","{""MOTOR VEHICLES"",""DRIVE AWAY/TOWAWAY"",TOWING}"
1000628,"5/26/2023","{""GENERAL FREIGHT"",""BUILDING MATERIALS"",TILE,MARBLE}"
1000629,"5/26/2023","{LIVESTOCK,GRAIN,FEED,HAY,WATER}"
1000630,"5/26/2023","{""BUILDING MATERIALS""}"
1000631,"5/26/2023",{PASSENGERS}
1000632,"5/26/2023","{CONSTRUCTION,DIRT,ROCK}"
1000635,"5/26/2023","{""MOTOR FUELS""}"
1000636,"5/26/2023",{CONSTRUCTION}
1000637,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",GARBAGE,REFUSE,TRASH,CONSTRUCTION}"
1000638,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",GRAIN,FEED,HAY,GRAVEL}"
1000639,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
1000646,"5/26/2023","{SAND,ROCK,GRAVEL}"
100065,"5/26/2023","{""READYMIX CONCRETE""}"
1000652,"5/26/2023",{LIQUIDS/GASES}
1000655,"5/26/2023","{UTILITY,""SERVICE TOOLS""}"
1000670,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",MEAT,""REFRIGERATED FOOD""}"
1000672,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000674,"5/26/2023","{""MOTOR VEHICLES"",""DRIVE AWAY/TOWAWAY"",MACHINERY,""LARGE OBJECTS""}"
1000677,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS""}"
1000680,"5/26/2023","{DIRT,SAND,STONE}"
1000681,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000702,"5/26/2023",{SEWAGE}
1000703,"5/26/2023","{""COMMODITIES DRY BULK""}"
1000706,"5/26/2023","{""GENERAL FREIGHT"",CONSTRUCTION}"
1000708,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
1000709,"5/26/2023","{""BUILDING MATERIALS"",UTILITY}"
1000712,"5/26/2023",{CONSTRUCTION}
1000713,"5/26/2023",{AUTOMOBILES}
1000715,"5/26/2023","{""GENERAL FREIGHT"",""FLAT BED PRODUCTS""}"
1000716,"5/26/2023","{""GENERAL FREIGHT""}"
1000718,"5/26/2023","{""TRANSPORTATION SAND"",GRAVEL,DIRT}"
1000719,"5/26/2023","{""MOTOR VEHICLES""}"
1000720,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""COMMODITIES DRY BULK"",""SAND & GRAVEL""}"
1000722,"5/26/2023","{""MOTOR VEHICLES""}"
1000723,"5/26/2023","{""GENERAL FREIGHT""}"
1000727,"5/26/2023","{""GENERAL FREIGHT"",""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""OIL FIELD EQUIPMENT""}"
1000728,"5/26/2023","{""MOTOR VEHICLES"",""DRIVE AWAY/TOWAWAY""}"
100073,"5/26/2023",{}
1000732,"5/26/2023",{SIGNS}
1000733,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",LIVESTOCK,GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""FARM SUPPLIES""}"
1000734,"5/26/2023","{""COMMODITIES DRY BULK"",CONSTRUCTION,GRAVEL,""FILL DIRT""}"
1000735,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER}"
1000737,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000738,"5/26/2023","{""GENERAL FREIGHT""}"
1000741,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,MACHINERY,""LARGE OBJECTS"",""METAL PARTS""}"
1000742,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS"",""METAL; SHEETS"",COILS,ROLLS,LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",CHEMICALS,""REFRIGERATED FOOD"",BEVERAGES,""PAPER PRODUCTS""}"
1000743,"5/26/2023",{CONSTRUCTION}
1000745,"5/26/2023","{""GENERAL FREIGHT"",MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000746,"5/26/2023","{""COMMODITIES DRY BULK""}"
1000748,"5/26/2023","{""COMMODITIES DRY BULK"",CONSTRUCTION}"
1000751,"5/26/2023","{""MOTOR VEHICLES""}"
1000752,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,""BUILDING MATERIALS"",""CONCRETE SUPPLIES""}"
1000753,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000754,"5/26/2023",{LIQUIDS/GASES}
1000756,"5/26/2023",{CONSTRUCTION}
1000757,"5/26/2023","{""COMMODITIES DRY BULK"",""PAPER PRODUCTS""}"
1000760,"5/26/2023","{GRAIN,FEED,HAY}"
1000761,"5/26/2023","{LIVESTOCK,GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""FARM SUPPLIES"",FARMER}"
1000765,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000766,"5/26/2023","{GRAIN,FEED,HAY}"
1000769,"5/26/2023","{""MOTOR VEHICLES"",MACHINERY,""LARGE OBJECTS"",GRAIN,FEED,HAY,CONSTRUCTION}"
1000770,"5/26/2023","{""BUILDING MATERIALS"",GARBAGE,REFUSE,TRASH,CONSTRUCTION,DIRT}"
1000771,"5/26/2023","{""FRESH PRODUCE""}"
1000772,"5/26/2023","{DIRT,SAND,GRAVEL}"
1000773,"5/26/2023",{CONSTRUCTION}
1000775,"5/26/2023",{SAND}
1000776,"5/26/2023","{""BUILDING MATERIALS""}"
1000779,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",CONSTRUCTION}"
1000781,"5/26/2023","{GRAIN,FEED,HAY,STEEL/FERTILIZER}"
1000786,"5/26/2023","{""MOTOR VEHICLES"",""TOOLS & EQUIPMENT""}"
1000787,"5/26/2023","{GRAIN,FEED,HAY,CHEMICALS,""FARM SUPPLIES"",SEED}"
1000789,"5/26/2023","{""GENERAL FREIGHT""}"
1000790,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION,WATER}"
1000792,"5/26/2023","{""MOTOR VEHICLES""}"
1000793,"5/26/2023",{CONSTRUCTION}
1000797,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",MEAT,""REFRIGERATED FOOD"",BEVERAGES}"
1000798,"5/26/2023",{STONE}
1000799,"5/26/2023",{CONSTRUCTION}
10008,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,UTILITY}"
1000800,"5/26/2023","{""MOTOR VEHICLES""}"
1000801,"5/26/2023","{""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000803,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000808,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER}"
1000811,"5/26/2023","{CONSTRUCTION,ASPHALT}"
1000815,"5/26/2023","{""COMMODITIES DRY BULK"",SAND,ROCK}"
1000817,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",""MOBILE HOMES"",MACHINERY,""LARGE OBJECTS"",GRAIN,FEED,HAY,GARBAGE,REFUSE,TRASH}"
1000819,"5/26/2023","{""MOTOR VEHICLES""}"
1000822,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""RAW FOREST PRODUCTS""}"
1000827,"5/26/2023",{CONSTRUCTION}
1000829,"5/26/2023","{LIVESTOCK,GRAIN,FEED,HAY,""FARM SUPPLIES""}"
1000843,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",GRAIN,FEED,HAY,CONSTRUCTION}"
1000845,"5/26/2023","{CONSTRUCTION,""WALL FORMS""}"
1000849,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,GARBAGE,REFUSE,TRASH}"
1000850,"5/26/2023","{""BUILDING MATERIALS""}"
1000851,"5/26/2023","{""GENERAL FREIGHT""}"
1000853,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER}"
1000856,"5/26/2023",{CONSTRUCTION}
1000858,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER}"
1000861,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""FARM SUPPLIES"",CONSTRUCTION}"
1000862,"5/26/2023",{UTILITY}
1000863,"5/26/2023","{MEAT,""REFRIGERATED FOOD""}"
1000865,"5/26/2023","{""CT MOBILE""}"
1000867,"5/26/2023","{""GENERAL FREIGHT""}"
1000868,"5/26/2023","{CONSTRUCTION,""CONCRETE FORMS""}"
1000869,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",""REFRIGERATED FOOD""}"
1000871,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000876,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""COMMODITIES DRY BULK"",CONSTRUCTION}"
1000879,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS"",""METAL; SHEETS"",COILS,ROLLS,LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""COMMODITIES DRY BULK"",""PAPER PRODUCTS"",UTILITY,CONSTRUCTION}"
1000880,"5/26/2023","{""COMMODITIES DRY BULK"",CONSTRUCTION}"
1000882,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""COMMODITIES DRY BULK"",CONSTRUCTION,""SNOW REMOVAL""}"
1000884,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000885,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""COMMODITIES DRY BULK"",""FARM SUPPLIES"",CONSTRUCTION}"
1000886,"5/26/2023",{CONSTRUCTION}
1000889,"5/26/2023",{CONSTRUCTION}
1000892,"5/26/2023","{GRAIN,FEED,HAY}"
1000893,"5/26/2023","{""HOUSEHOLD GOODS""}"
1000898,"5/26/2023",{AGGREGATE}
1000899,"5/26/2023","{""GENERAL FREIGHT"",GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""FARM SUPPLIES""}"
1000900,"5/26/2023","{LIQUIDS/GASES,MILK}"
1000902,"5/26/2023","{""FRESH PRODUCE"",GRAIN,FEED,HAY}"
1000904,"5/26/2023","{""GENERAL FREIGHT"",""BUILDING MATERIALS"",LIVESTOCK,GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""FARM SUPPLIES"",CONSTRUCTION}"
1000905,"5/26/2023","{""BUILDING MATERIALS""}"
1000906,"5/26/2023","{""COMMODITIES DRY BULK"",CONSTRUCTION}"
1000909,"5/26/2023","{GARBAGE,REFUSE,TRASH,CONSTRUCTION}"
100091,"5/26/2023",{ROCK}
1000910,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",""REFRIGERATED FOOD"",BEVERAGES,""PAPER PRODUCTS""}"
1000911,"5/26/2023","{""WOOD CHIPS""}"
1000913,"5/26/2023","{SAND,GRAVEL}"
1000914,"5/26/2023","{""LAWN EQUIPMENT""}"
1000916,"5/26/2023",{WATER}
1000919,"5/26/2023",{UTILITY}
1000924,"5/26/2023","{""MOTOR VEHICLES"",""DRIVE AWAY/TOWAWAY""}"
1000926,"5/26/2023","{""REFRIGERATED FOOD""}"
1000927,"5/26/2023","{""REFRIGERATED FOOD""}"
1000928,"5/26/2023",{CONSTRUCTION}
1000929,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,MACHINERY,""LARGE OBJECTS""}"
1000930,"5/26/2023","{""MOTOR VEHICLES""}"
1000931,"5/26/2023","{""REFRIGERATED FOOD""}"
1000932,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000933,"5/26/2023","{""GENERAL FREIGHT""}"
1000935,"5/26/2023",{CONSTRUCTION}
1000936,"5/26/2023","{""GENERAL FREIGHT"",MACHINERY,""LARGE OBJECTS"",GRAIN,FEED,HAY}"
1000938,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""FARM SUPPLIES""}"
1000939,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000940,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER}"
1000943,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER}"
1000944,"5/26/2023",{CONSTRUCTION}
1000946,"5/26/2023","{""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",CONSTRUCTION,""LANDSCAPE MATERIALS""}"
1000948,"5/26/2023",{CONSTRUCTION}
1000949,"5/26/2023",{TIRES}
1000950,"5/26/2023","{""HOUSEHOLD GOODS""}"
1000951,"5/26/2023","{GARBAGE,REFUSE,TRASH}"
1000953,"5/26/2023",{CONSTRUCTION}
1000958,"5/26/2023",{CONSTRUCTION}
1000959,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,LOGS,POLES,BEAMS,LUMBER,""STEEL BEAMS""}"
1000962,"5/26/2023",{SEPTAGE}
1000963,"5/26/2023",{CHIPS}
1000971,"5/26/2023","{""GENERAL FREIGHT"",""BUILDING MATERIALS"",LIVESTOCK,GRAIN,FEED,HAY,""FARM SUPPLIES""}"
1000972,"5/26/2023","{GRAIN,FEED,HAY}"
1000976,"5/26/2023","{""NURSERY STOCK""}"
1000977,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",CONSTRUCTION,""CONSTRUCTION DEBRIS""}"
1000978,"5/26/2023",{BEVERAGES}
1000980,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,LIVESTOCK,GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""FARM SUPPLIES"",FIREWOOD}"
1000982,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,GRAIN,FEED,HAY}"
1000984,"5/26/2023","{""COMMODITIES DRY BULK"",DIRT,FIREWOOD}"
1000985,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000986,"5/26/2023","{LIVESTOCK,GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",CONSTRUCTION}"
1000989,"5/26/2023",{CONSTRUCTION}
1000993,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
